Category:,Brief Description:,Extended Description:,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(3-dodecyl thiophene),,,20.2,9.4,88.2,,,,,,,,,,,,Musselman 1999,http://www.sciencedirect.com/science/article/pii/S0376738898001276
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(phenylene vinylene) 3b,,,6.6,1.8,24,,,,,,,,,,,,Sakaguchi 2010,http://dx.doi.org/10.1002/app.32135
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(phenylene vinylene) 3c,,,6.5,1.5,26,,,,,,,,,,,,Sakaguchi 2010,http://dx.doi.org/10.1002/app.32135
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(phenylene vinylene) 3d,,,3.5,1.1,14,,,,,,,,,,,,Sakaguchi 2010,http://dx.doi.org/10.1002/app.32135
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(phenylene vinylene) 3e,,,12,3.9,60,,,,,,,,,,,,Sakaguchi 2010,http://dx.doi.org/10.1002/app.32135
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(phenylene vinylene) 3f,,,12,4.5,61,,,,,,,,,,,,Sakaguchi 2010,http://dx.doi.org/10.1002/app.32135
High Temperature Polymers,,Polytriazole,14,,1.16,0.14,5.2,0.09,,,,,,,,,,,Gebben 1989,http://www.sciencedirect.com/science/article/pii/S0376738800811680
High Temperature Polymers,,Polybenzoxazinoneimide (1),,2.56,0.082,0.0053,0.26,,,,,,,,,,,,Polotskaya 2005,http://www.sciencedirect.com/science/article/pii/S0032386105002314
High Temperature Polymers,PIM-1 heterocyclic polymer,,660,1300,370,92,2300,125,,,,,,,,,,,Budd 2005,http://www.sciencedirect.com/science/article/B6TGK-4FGX5C5-1/2/83c20ddad8097af6df788d80ee1a45a2
High Temperature Polymers,PIM-7 heterocyclic polymer,,440,860,190,42,1100,62,,,,,,,,,,,Budd 2005,http://www.sciencedirect.com/science/article/B6TGK-4FGX5C5-1/2/83c20ddad8097af6df788d80ee1a45a2
High Temperature Polymers,PIM-1 heterocyclic polymer,,760,1630,580,180,4390,310,,,,,,,,,,,Budd 2008,http://www.sciencedirect.com/science/article/pii/S0376738808008284
High Temperature Polymers,PIM-1,,740,1600,530,155,3700,240,,,,,,,,,,,Budd 2008,http://www.sciencedirect.com/science/article/pii/S0376738808008284
High Temperature Polymers,PIM-1,,,,1133,353,5366,,,,,,,,,,,,Du 2008,http://dx.doi.org/10.1021/ma801858d
High Temperature Polymers,TFMPSPIM1,,,,156,33,731,,,,,,,,,,,,Du 2008,http://dx.doi.org/10.1021/ma801858d
High Temperature Polymers,TFMPSPIM2,,,,308,75,1476,,,,,,,,,,,,Du 2008,http://dx.doi.org/10.1021/ma801858d
High Temperature Polymers,TFMPSPIM3,,,,561,158,2841,,,,,,,,,,,,Du 2008,http://dx.doi.org/10.1021/ma801858d
High Temperature Polymers,TFMPSPIM4,,,,737,217,3616,,,,,,,,,,,,Du 2008,http://dx.doi.org/10.1021/ma801858d
High Temperature Polymers,PIM-PI-1,,260,530,150,47,1100,77,,,,,,,,,,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q
High Temperature Polymers,PIM-PI-2,,160,220,39,9,210,9,,,,,,,,,,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q
High Temperature Polymers,PIM-PI-3,,190,360,85,23,520,27,,,,,,,,,,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q
High Temperature Polymers,PIM-PI-4,,205,300,64,16,420,20,,,,,,,,,,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q
High Temperature Polymers,PIM-PI-7,,190,350,77,19,510,27,,,,,,,,,,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q
High Temperature Polymers,PIM-PI-8i,,660,1600,545,160,3700,260,,,,,,,,,,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q
High Temperature Polymers,PIM-PI-8ii,,425,1020,320,100,2270,170,,,,,,,,,,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q
High Temperature Polymers,PIM-1,,1368,3580,1790,727,8319,,,,,,,,,,,,Du 2009,http://dx.doi.org/10.1021/ma9009017
High Temperature Polymers,Carboxylated PIM (120C/1/hr),,616,1540,534,162,2543,,,,,,,,,,,,Du 2009,http://dx.doi.org/10.1021/ma9009017
High Temperature Polymers,PBO-PI 0/100,,23.6,14.3,0.72,0.09,2.7,0.03,,,,,,,,,,,Jung 2010,http://www.sciencedirect.com/science/article/pii/S0376738810000141
High Temperature Polymers,PBO-PI 20/80,,29.8,38.2,2.2,0.4,11.4,0.3,,,,,,,,,,,Jung 2010,http://www.sciencedirect.com/science/article/pii/S0376738810000141
High Temperature Polymers,PBO-PI 50/50,,42.1,47.1,4.8,0.82,25.3,0.65,,,,,,,,,,,Jung 2010,http://www.sciencedirect.com/science/article/pii/S0376738810000141
High Temperature Polymers,PBO-PI 80/20,,479,623,90,18,389,14,,,,,,,,,,,Jung 2010,http://www.sciencedirect.com/science/article/pii/S0376738810000141
High Temperature Polymers,PBO-PI 100/0,,857,1228,220,48,1014,41,,,,,,,,,,,Jung 2010,http://www.sciencedirect.com/science/article/pii/S0376738810000141
High Temperature Polymers,BPGB-TADPO poly(phenylquinoxaline),,,17.2,1.97,3.44,,,,,,,,,,,,,Gao 1996,http://www.sciencedirect.com/science/article/pii/0032386196810950
High Temperature Polymers,FPBO-1 polybenzoxazole,,,120,16.4,3.4,61,1.6,,,,,,,,,,,Okamoto 1992,http://dx.doi.org/10.1002/polb.1992.090301106
High Temperature Polymers,FPBO-2 polybenzoxazole,,,24,1.44,0.21,4.7,0.097,,,,,,,,,,,Okamoto 1992,http://dx.doi.org/10.1002/polb.1992.090301106
High Temperature Polymers,FPBO-3 polybenzoxazole,,,37,3.3,0.55,11.4,0.28,,,,,,,,,,,Okamoto 1992,http://dx.doi.org/10.1002/polb.1992.090301106
High Temperature Polymers,HPBO-3 polybenzoxazole,,,12.5,0.78,0.12,2.7,0.086,,,,,,,,,,,Okamoto 1992,http://dx.doi.org/10.1002/polb.1992.090301106
High Temperature Polymers,PBI-I polybenzimidazole,,1.05,0.6,0.015,0.0048,0.16,0.0018,,,,,,,,,,,Kumbharkar 2006,http://www.sciencedirect.com/science/article/pii/S0376738806006375
High Temperature Polymers,PBI-BuI polybenzimidazole,,10.1,10.7,0.42,0.06,1.91,0.05,,,,,,,,,,,Kumbharkar 2006,http://www.sciencedirect.com/science/article/pii/S0376738806006375
High Temperature Polymers,PBI-HFA polybenzimidazole,,12.9,12.2,0.6,0.13,2.91,0.07,,,,,,,,,,,Kumbharkar 2006,http://www.sciencedirect.com/science/article/pii/S0376738806006375
High Temperature Polymers,PBI-I polybenzimidazole,,,0.63,0.015,,,,,,,,,,,,,,Kumbharkar 2009,http://www.sciencedirect.com/science/article/pii/S0032386109000846
High Temperature Polymers,PBI-T polybenzimidazole,,,0.16,0.004,,,,,,,,,,,,,,Kumbharkar 2009,http://www.sciencedirect.com/science/article/pii/S0032386109000846
